provision_id                      rank  score  determinacy
sfs-2026-484:K3P9                 177   13.0   unmarked   
sfs-2026-843:P3                   178   13.0   unmarked   
sfs-2026-1011:K3P17               179   13.0   unmarked   
sfs-2026-1011:K9P6                180   13.0   unmarked   
sfs-1995-584:P16                  181   13.0   unmarked   
sfs-1982-80:P30                   182   13.0   specific   
sfs-2026-408:K14P2                183   13.0   specific   
sfs-2026-999:K1P6                 184   13.0   specific   
sfs-1982-80:P15                   185   13.0   specific   
sfs-1995-584:P14                  186   13.0   specific   
sfs-2026-999:K1P6:occurrence:2    187   13.0   specific   
sfs-2026-333:P5                   188   13.0   unmarked   
sfs-1982-80:P22                   189   13.0   specific   
sfs-1982-80:P2b                   190   13.0   unmarked   
sfs-2026-786:K10P11               191   12.0   vague      
sfs-2026-772:K6P7                 192   12.0   unmarked   
sfs-2026-677:P7                   193   12.0   unmarked   
sfs-2026-1011:K4P10               194   12.0   unmarked   
sfs-2026-999:K6P5                 195   12.0   unmarked   
sfs-2026-999:K10P1                196   12.0   unmarked   
sfs-2026-1459:overgang:2026-1459  197   12.0   specific   
sfs-2026-1282:P14                 198   12.0   unmarked   
sfs-2026-677:P3                   199   12.0   unmarked   
sfs-2026-772:K5P2                 200   12.0   unmarked   
sfs-2026-806:P8                   201   12.0   unmarked   
sfs-2026-1281:K16P4               202   12.0   vague      
sfs-2026-1459:P16                 203   12.0   unmarked   
sfs-2026-1011:K6P6                204   12.0   unmarked   
sfs-1982-80:P28                   205   12.0   vague      
sfs-1982-80:P34                   206   12.0   unmarked   
sfs-1982-673:overgang:2005-165    207   12.0   unmarked   
sfs-2026-999:K7P3                 208   12.0   unmarked   
sfs-2026-380:P7                   209   12.0   unmarked   
sfs-2026-1283:K1P5                210   12.0   unmarked   
sfs-2026-1011:K9P2                211   12.0   unmarked   
sfs-2026-408:K4P2                 212   12.0   unmarked   
sfs-2026-578:P15                  213   12.0   unmarked   
sfs-2026-1283:K12P4               214   12.0   unmarked   
sfs-1982-80:P6i                   215   12.0   unmarked   
sfs-1976-580:P42a                 216   12.0   unmarked   
sfs-2026-1281:K16P5               217   12.0   vague      
sfs-2026-999:K10P1:occurrence:2   218   12.0   unmarked   
sfs-2026-578:P10                  219   12.0   unmarked   
sfs-2026-408:K18P12               220   12.0   unmarked   
sfs-2026-1281:K9P23               221   12.0   unmarked   
sfs-2026-380:P13:occurrence:2     222   12.0   unmarked   
sfs-1982-673:P24                  223   12.0   unmarked   
sfs-2026-1283:K4P3                224   12.0   unmarked   
sfs-2026-380:P13                  225   12.0   unmarked   
sfs-2026-408:K9P13                226   12.0   unmarked   
sfs-1976-580:P63                  227   12.0   unmarked   
sfs-2026-1281:K12P25              228   12.0   unmarked   
sfs-2026-786:K10P7                229   12.0   unmarked   
sfs-1982-80:P38                   230   12.0   vague      
sfs-2008-567:K4P3                 231   12.0   unmarked   
sfs-2026-1281:K5P3                232   12.0   unmarked   
sfs-2026-1283:K5P5                233   12.0   unmarked   
sfs-2026-1459:P12                 234   12.0   unmarked   
sfs-2026-1283:K3P7                235   12.0   unmarked   
sfs-2026-408:K15P2                236   12.0   vague      
sfs-1982-80:P6b                   237   12.0   unmarked   
sfs-1995-584:P5                   238   12.0   specific   
sfs-2026-408:K4P6                 239   12.0   unmarked   
sfs-1977-480:P9                   240   12.0   specific   
sfs-2026-1326:P12                 241   12.0   specific   
sfs-1995-584:P5:occurrence:2      242   12.0   specific   
sfs-2026-772:K6P3                 243   12.0   specific   
sfs-1982-80:P25                   244   12.0   specific   
sfs-2026-1358:K4P2                245   11.0   unmarked   
sfs-2026-1283:K3P4                246   11.0   unmarked   
sfs-2026-1306:P6                  247   11.0   unmarked   
sfs-2026-999:K3P5                 248   11.0   unmarked   
sfs-2026-1281:K14P5               249   11.0   unmarked   
sfs-2026-408:K15P4                250   11.0   unmarked   
sfs-2026-1281:K18P2               251   11.0   unmarked   
sfs-2026-999:K9P3                 252   11.0   unmarked   
sfs-2026-843:P4                   253   11.0   unmarked   
sfs-2026-1281:K4P16               254   11.0   unmarked   
sfs-1982-80:P5                    255   11.0   unmarked   
sfs-2026-1281:K11P27              256   11.0   unmarked   
sfs-2026-1281:K9P2                257   11.0   unmarked   
sfs-2026-843:P7                   258   11.0   unmarked   
sfs-2026-1281:K2P19               259   11.0   unmarked   
sfs-2026-1281:K4P1                260   11.0   unmarked   
sfs-2026-772:K6P12                261   11.0   unmarked   
sfs-2026-484:K1P3                 262   11.0   unmarked   
sfs-2026-408:K13P5                263   11.0   unmarked   
sfs-2026-843:P10                  264   11.0   unmarked   
sfs-1977-480:P30                  265   11.0   unmarked   
sfs-2026-1281:K11P26              266   11.0   unmarked   
sfs-2026-1281:K12P4               267   11.0   unmarked   
sfs-2026-1281:K2P10               268   11.0   unmarked   
sfs-2026-983:P24                  269   11.0   unmarked   
sfs-2026-1281:K4P25               270   11.0   unmarked   
sfs-2026-999:K5P3                 271   11.0   unmarked   
sfs-1976-580:P51                  272   11.0   unmarked   
sfs-2026-1281:K6P4                273   11.0   unmarked   
sfs-2026-837:P13                  274   11.0   unmarked   
sfs-2026-1011:K4P7                275   11.0   unmarked   
sfs-2026-843:P17                  276   11.0   unmarked   
sfs-2026-772:K1P3:occurrence:2    277   11.0   unmarked   
sfs-2026-1281:K6P20               278   11.0   unmarked   
sfs-2026-1281:K7P14               279   11.0   unmarked   
sfs-2008-567:K4P13                280   11.0   unmarked   
sfs-1977-480:P15                  281   11.0   vague      
sfs-2026-1282:P17                 282   11.0   unmarked   
sfs-2026-408:K20P25               283   11.0   unmarked   
sfs-2026-1281:K2P18               284   11.0   unmarked   
sfs-1982-673:P30                  285   11.0   unmarked   
sfs-2026-578:P8                   286   11.0   unmarked   
sfs-2026-999:K4P1                 287   11.0   unmarked   
sfs-2026-786:K10P8                288   11.0   unmarked   
sfs-2026-1282:P16                 289   11.0   unmarked   
sfs-2026-585:P3                   290   11.0   unmarked   
sfs-2026-408:K13P11               291   11.0   unmarked   
sfs-2026-999:K4P1:occurrence:2    292   11.0   unmarked   
sfs-2026-408:K20P3                293   11.0   unmarked   
sfs-2026-1011:K2P5                294   11.0   unmarked   
sfs-2026-380:P8                   295   11.0   unmarked   
sfs-2026-772:K3P2                 296   11.0   unmarked   
sfs-2026-772:K3P1                 297   11.0   unmarked   
sfs-2008-567:K2P16                298   11.0   vague      
sfs-2026-1281:K3P9                299   11.0   unmarked   
sfs-2008-567:K5P3a                300   11.0   vague      
sfs-2026-1459:P15                 301   11.0   unmarked   
sfs-2026-1281:K10P3               302   11.0   unmarked   
sfs-2026-1281:K8P5                303   11.0   unmarked   
sfs-2026-1011:K3P5                304   11.0   vague      
sfs-2026-1011:K4P8                305   11.0   unmarked   
sfs-2026-1011:K8P30               306   11.0   unmarked   
sfs-2026-408:K7P5                 307   11.0   unmarked   
sfs-2026-772:K4P5                 308   11.0   vague      
sfs-2026-999:K11P1                309   11.0   unmarked   
sfs-2026-1011:K8P14               310   11.0   unmarked   
sfs-2026-1281:K16P2               311   11.0   vague      
sfs-2026-786:K4P6                 312   11.0   unmarked   
sfs-1982-80:P40                   313   11.0   specific   
sfs-2026-484:K3P3                 314   11.0   specific   
sfs-1976-580:P39                  315   11.0   unmarked   
sfs-1976-580:P38                  316   11.0   unmarked   
sfs-1982-673:P2                   317   11.0   unmarked   
sfs-2026-1281:K19P9               318   10.0   unmarked   
sfs-1977-480:P21                  319   10.0   unmarked   
sfs-2026-408:K13P6                320   10.0   unmarked   
sfs-2026-1281:K3P12               321   10.0   unmarked   
sfs-2026-1283:K6P4                322   10.0   unmarked   
