provision_id                           rank  score  determinacy
sfs-2026-1601:K6P8                     254   16.0   specific   
sfs-2022-260:K2P2                      255   16.0   specific   
sfs-2025-400:K21P2                     256   16.0   specific   
sfs-2017-725:K5P10                     257   16.0   specific   
sfs-2016-977:K5P9                      258   16.0   specific   
sfs-2018-1699:K5P3                     259   16.0   specific   
sfs-2026-1601:K9P5                     260   16.0   specific   
sfs-2023-200:K15P19                    261   16.0   specific   
sfs-2017-1000:K4P8                     262   16.0   specific   
sfs-2026-1281:K10P10                   263   16.0   specific   
sfs-2018-672:K21P7                     264   16.0   unmarked   
sfs-2026-1283:K2P6                     265   16.0   specific   
sfs-2018-1699:K5P9                     266   16.0   specific   
sfs-2018-672:K2P2                      267   16.0   specific   
sfs-2018-1219:K4P17                    268   16.0   specific   
sfs-2014-836:P8a                       269   16.0   specific   
sfs-2018-1693:K4P5a                    270   16.0   specific   
sfs-2015-1073:P5                       271   16.0   specific   
sfs-2022-1257:P29                      272   16.0   specific   
sfs-2025-400:K17P9                     273   16.0   unmarked   
sfs-2022-700:K5P4                      274   16.0   specific   
sfs-2026-1283:K4P9                     275   16.0   specific   
sfs-2017-452:K4P3                      276   16.0   specific   
sfs-2024-945:K15P6                     277   16.0   unmarked   
sfs-2018-2088:K7P13                    278   16.0   specific   
sfs-2019-508:P11                       279   16.0   specific   
sfs-2026-999:K4P3                      280   16.0   specific   
sfs-2025-621:P14                       281   16.0   specific   
sfs-2024-945:K16P10                    282   16.0   unmarked   
sfs-2017-725:K5P35                     283   16.0   specific   
sfs-2018-1653:K6P9                     284   16.0   unmarked   
sfs-2016-1145:K20P5c                   285   16.0   unmarked   
sfs-2016-1146:K20P5c                   286   16.0   unmarked   
sfs-2016-1147:K16P5c                   287   16.0   unmarked   
sfs-2017-447:K4P3                      288   16.0   specific   
sfs-2016-1147:K9P2                     289   16.0   specific   
sfs-2024-79:K8P4                       290   16.0   unmarked   
sfs-2026-1283:K4P5                     291   16.0   specific   
sfs-2021-34:P12                        292   16.0   unmarked   
sfs-2024-506:K7P14                     293   16.0   specific   
sfs-2022-964:K6P3                      294   16.0   specific   
sfs-2014-322:P32                       295   16.0   unmarked   
sfs-2016-1053:P5                       296   16.0   specific   
sfs-2016-1146:K14P8                    297   16.0   specific   
sfs-2016-1147:K8P6                     298   16.0   specific   
sfs-2018-396:K8P5                      299   16.0   specific   
sfs-2016-1145:K9P2                     300   16.0   unmarked   
sfs-2016-1146:K9P2                     301   16.0   unmarked   
sfs-2026-999:K4P3:occurrence:2         302   16.0   specific   
sfs-2016-1013:P7                       303   16.0   specific   
sfs-1982-80:P6                         304   16.0   specific   
sfs-2022-260:K4P8                      305   16.0   vague      
sfs-2019-742:K11P3                     306   16.0   specific   
sfs-2020-548:P10                       307   16.0   unmarked   
sfs-2026-772:K6P6                      308   16.0   specific   
sfs-2016-253:K5P19                     309   16.0   specific   
sfs-2019-601:K5P3                      310   16.0   specific   
sfs-2025-400:K19aP1                    311   16.0   specific   
sfs-2017-425:P32                       312   16.0   specific   
sfs-2026-408:K3P4                      313   16.0   specific   
sfs-2016-732:P35                       314   16.0   specific   
sfs-2014-1470:P17                      315   16.0   specific   
sfs-2022-700:K6P8                      316   16.0   vague      
sfs-2019-742:K4P7                      317   16.0   unmarked   
sfs-2026-723:P3                        318   16.0   unmarked   
sfs-2024-945:K4P22                     319   16.0   specific   
sfs-1976-580:P29                       320   16.0   specific   
sfs-2016-1146:K20P21                   321   16.0   specific   
sfs-2023-38:K2P7                       322   16.0   unmarked   
sfs-2016-1145:K20P21                   323   16.0   specific   
sfs-2015-96:K2P12                      324   16.0   specific   
sfs-2025-986:K3P2                      325   16.0   specific   
sfs-2016-977:K7P5                      326   16.0   specific   
sfs-2016-1147:K16P21                   327   16.0   specific   
sfs-2022-964:K2P22                     328   16.0   specific   
sfs-2022-700:K8P1                      329   16.0   specific   
sfs-2022-700:K2P14                     330   16.0   specific   
sfs-2018-1138:K19P17                   331   16.0   specific   
sfs-2019-32:K5P8                       332   16.0   specific   
sfs-2022-1011:P2                       333   16.0   specific   
sfs-2026-786:K4P3                      334   16.0   specific   
sfs-2018-672:K4P9                      335   16.0   specific   
sfs-2020-1066:P8                       336   16.0   specific   
sfs-2022-725:P28                       337   16.0   specific   
sfs-2018-672:K8P10                     338   16.0   specific   
sfs-2026-1283:K7P5                     339   16.0   unmarked   
sfs-2018-1693:K5P10                    340   16.0   specific   
sfs-2024-710:K3P28                     341   16.0   specific   
sfs-2023-875:K3P9                      342   16.0   specific   
sfs-2022-482:K3P4                      343   16.0   unmarked   
sfs-2018-672:K18P4                     344   16.0   specific   
sfs-2024-945:K10P12                    345   16.0   specific   
sfs-2018-672:K11P4                     346   16.0   specific   
sfs-2025-1506:K4P8                     347   16.0   specific   
sfs-2025-400:K32P2                     348   16.0   vague      
sfs-2016-1108:K4P4                     349   16.0   specific   
sfs-2022-700:K6P6                      350   16.0   specific   
sfs-2015-62:K4P3                       351   16.0   specific   
sfs-2023-200:K14P27                    352   16.0   specific   
sfs-2023-200:K14P47                    353   16.0   specific   
sfs-2014-968:K1aP4                     354   16.0   specific   
sfs-2023-200:K7P7                      355   16.0   unmarked   
sfs-2025-520:K2P10                     356   16.0   specific   
sfs-2016-977:K8P3                      357   16.0   specific   
sfs-2016-1145:K4P8                     358   16.0   unmarked   
sfs-2016-1146:K4P7                     359   16.0   unmarked   
sfs-2018-672:K16P13                    360   16.0   specific   
sfs-2026-1283:K3P8                     361   16.0   specific   
sfs-2016-1307:K4P1                     362   16.0   unmarked   
sfs-2015-650:K2P5:occurrence:2         363   16.0   unmarked   
sfs-2014-1470:P1                       364   16.0   specific   
sfs-2016-1147:K8P3                     365   16.0   unmarked   
sfs-2018-672:K6P42                     366   16.0   unmarked   
sfs-2018-1251:P7                       367   16.0   specific   
sfs-2015-650:K2P5                      368   16.0   unmarked   
sfs-2019-742:K9P5                      369   16.0   specific   
sfs-2022-725:P11a                      370   16.0   unmarked   
sfs-2025-520:K6P6                      371   16.0   specific   
sfs-2022-1682:P11                      372   16.0   specific   
sfs-1977-480:P28                       373   16.0   specific   
sfs-2023-875:K3P18                     374   16.0   unmarked   
sfs-2015-671:P9                        375   16.0   specific   
sfs-2018-1192:K8P4a                    376   16.0   unmarked   
sfs-2023-875:K3P18a                    377   16.0   unmarked   
sfs-2016-1146:K14P7                    378   16.0   specific   
sfs-2015-315:K4P4                      379   16.0   unmarked   
sfs-2018-672:K16P36a                   380   16.0   specific   
sfs-2022-700:K3P8                      381   16.0   specific   
sfs-2018-1693:K5P22                    382   16.0   specific   
sfs-2016-1145:K11P3                    383   16.0   specific   
sfs-2014-400:P11                       384   16.0   specific   
sfs-2015-96:K2P13                      385   16.0   specific   
sfs-2025-31:P11                        386   16.0   specific   
sfs-2023-714:K7P2                      387   16.0   specific   
sfs-2018-1219:K9P3                     388   16.0   specific   
sfs-2018-1653:K5P3                     389   16.0   vague      
sfs-2023-875:K4P2                      390   16.0   specific   
sfs-2014-1020:P17                      391   16.0   specific   
sfs-2023-748:P3                        392   16.0   specific   
sfs-2022-155:K6P4                      393   16.0   specific   
sfs-2022-156:K6P4                      394   16.0   specific   
sfs-2022-155:K3P6                      395   16.0   specific   
sfs-2026-408:K20P10                    396   16.0   unmarked   
sfs-2020-1173:P31                      397   16.0   unmarked   
sfs-2022-156:K3P6                      398   16.0   specific   
sfs-2018-672:K11P13                    399   16.0   unmarked   
sfs-2022-155:K7P8                      400   16.0   specific   
sfs-2022-156:K7P8                      401   16.0   specific   
sfs-2016-1024:K4P13                    402   16.0   unmarked   
sfs-2026-1011:K6P7                     403   16.0   specific   
sfs-2015-1016:K3P13                    404   16.0   specific   
sfs-2024-945:K6P7                      405   16.0   specific   
